start_time,close,datetime,high,low,open,volume
1614060000000,1578.01,2021-02-23 06:00:00,1649.25,1577.28,1619.99,103841.02956
1614063600000,1586.64,2021-02-23 07:00:00,1621.39,1568.0,1578.01,79131.96342
1614067200000,1445.35,2021-02-23 08:00:00,1600.0,1444.99,1586.64,264715.78931
1614070800000,1500.17,2021-02-23 09:00:00,1515.85,1355.0,1445.35,294401.15525
1614074400000,1480.41,2021-02-23 10:00:00,1525.0,1445.81,1500.47,148332.97773
1614078000000,1453.07,2021-02-23 11:00:00,1503.47,1371.6,1480.41,182681.26018
1614081600000,1529.39,2021-02-23 12:00:00,1549.47,1425.76,1453.09,176027.02024
1614085200000,1551.74,2021-02-23 13:00:00,1564.0,1510.6,1529.5,115039.29575
1614088800000,1519.97,2021-02-23 14:00:00,1573.16,1478.4,1551.7,103182.35352
1614092400000,1573.99,2021-02-23 15:00:00,1601.04,1505.23,1519.97,121655.48756
1614096000000,1550.58,2021-02-23 16:00:00,1608.37,1535.96,1573.99,87463.09398
1614099600000,1519.53,2021-02-23 17:00:00,1573.78,1516.27,1550.74,51415.637
1614103200000,1496.81,2021-02-23 18:00:00,1538.92,1491.04,1519.2,58623.09156
1614106800000,1447.64,2021-02-23 19:00:00,1516.52,1446.07,1496.57,63691.72964
1614110400000,1524.28,2021-02-23 20:00:00,1524.7,1434.2,1447.89,62143.6995
1614114000000,1535.97,2021-02-23 21:00:00,1550.13,1518.2,1524.27,42633.6948
1614117600000,1568.42,2021-02-23 22:00:00,1572.76,1530.78,1535.97,29365.56792
1614121200000,1577.89,2021-02-23 23:00:00,1579.36,1544.69,1568.07,30917.6245
1614124800000,1568.06,2021-02-24 00:00:00,1585.81,1500.2,1577.79,68957.46838
1614128400000,1606.17,2021-02-24 01:00:00,1606.79,1559.39,1567.87,68349.36389
1614132000000,1617.41,2021-02-24 02:00:00,1633.81,1593.67,1606.18,62320.03002
1614135600000,1636.57,2021-02-24 03:00:00,1640.56,1613.08,1617.31,40211.74316
1614139200000,1642.84,2021-02-24 04:00:00,1653.69,1608.04,1636.77,62779.80399
1614142800000,1627.19,2021-02-24 05:00:00,1652.0,1617.44,1643.15,44010.82848
1614146400000,1637.6,2021-02-24 06:00:00,1648.99,1610.0,1627.42,50825.10644
1614150000000,1642.33,2021-02-24 07:00:00,1649.42,1613.99,1637.58,49549.8875
1614153600000,1676.65,2021-02-24 08:00:00,1679.32,1630.45,1642.33,57021.50029
1614157200000,1690.41,2021-02-24 09:00:00,1712.7,1669.28,1676.63,75319.22588
1614160800000,1661.03,2021-02-24 10:00:00,1696.24,1661.02,1690.3,52998.15184
1614164400000,1677.41,2021-02-24 11:00:00,1697.54,1661.04,1661.04,48335.44754
1614168000000,1689.75,2021-02-24 12:00:00,1707.65,1675.03,1677.39,53632.49282
1614171600000,1639.81,2021-02-24 13:00:00,1698.46,1622.0,1689.75,120513.84886
1614175200000,1642.35,2021-02-24 14:00:00,1653.19,1624.36,1640.39,73624.0849
1614178800000,1660.45,2021-02-24 15:00:00,1662.91,1588.81,1642.35,85209.91608
1614182400000,1645.81,2021-02-24 16:00:00,1677.18,1641.59,1660.46,60939.22066
1614186000000,1661.07,2021-02-24 17:00:00,1661.07,1638.99,1645.81,71615.4919
